2023-08-07 22:48:37,379 [1] INFO  Info - 数据插入成功！
2023-08-07 22:48:38,535 [1] INFO  n2nmc.View.Pagey.Page1 - user: , p: 
2023-08-07 22:48:38,535 [1] INFO  n2nmc.View.Pagey.Page1 - user: , p: 
2023-08-07 22:48:41,463 [1] INFO  n2nmc.View.Pagey.Page2 - 已关闭房间 {1} 个
2023-08-07 22:48:41,471 [1] INFO  n2nmc.View.Pagey.Page2 - 不在运行
2023-08-08 14:44:47,814 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-08 14:44:47,820 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-08 14:44:47,820 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-08 14:44:47,820 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-08 14:44:49,094 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:3168] adding supernode = 14.29.239.175:7777
2023-08-08 14:44:49,094 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1028] WARNING: switching to AES as key was provided
2023-08-08 14:44:49,094 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1068] starting n2n edge 3.1.1-71-g9618512-dirty-r1255 x64_static Jan 31 2023 16:38:26
2023-08-08 14:44:49,095 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1074] using compression: none.
2023-08-08 14:44:49,095 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1075] using AES cipher.
2023-08-08 14:44:49,111 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:392] number of supernodes in the list: 1
2023-08-08 14:44:49,112 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:394] supernode 0 => 14.29.239.175:7777
2023-08-08 14:44:49,112 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:483] successfully created resolver thread
2023-08-08 14:44:49,112 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1105] automatically assign IP address by supernode
2023-08-08 14:44:49,112 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1177] send REGISTER_SUPER to supernode [14.29.239.175:7777] asking for IP address
2023-08-08 14:44:49,136 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1188] received REGISTER_SUPER_ACK from supernode for IP address asignment
2023-08-08 14:44:49,534 [1] INFO  n2nmc.View.Pagey.Page3 - 确定。
2023-08-08 14:44:49,547 [1] INFO  n2nmc.View.Pagey.Page3 - Open device [name={2D89176E-3000-43FE-944E-A0B0E6CAC934}][ip=172.21.9.244][ifName=本地连接][MTU=1290][mac=00:FF:2D:89:17:6E]
2023-08-08 14:44:49,548 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1214] created local tap device IP: 172.21.9.244, Mask: 255.255.255.0, MAC: 00:FF:2D:89:17:6E
2023-08-08 14:44:49,548 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge.c:1307] edge started
2023-08-08 14:44:49,551 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:1159] successfully joined multicast group 224.0.0.68:1968
2023-08-08 14:44:49,623 [1] INFO  n2nmc.View.Pagey.Page3 - 08/Aug/2023 14:44:49 [edge_utils.c:2527] [OK] edge <<< ================ >>> supernode
2023-08-08 14:44:50,260 [1] INFO  N2Nmc.View.room - [{"_tag": "Eu3a", "_type": "row", "community": "hyj945123", "ip4addr": "172.21.9.244/24", "purgeable": 0, "macaddr": "00:FF:2D:89:17:6E", "sockaddr": "27.186.157.56:27456", "proto": "UDP", "desc": "wlzx-win10-pc", "last_seen": 1691477086}]
2023-08-08 14:44:53,605 [1] INFO  n2nmc.View.Pagey.Page2 - 已关闭房间 {0} 个
2023-08-08 14:44:53,608 [1] INFO  n2nmc.View.Pagey.Page2 - 在运行
2023-08-08 14:44:53,610 [1] INFO  n2nmc.View.Pagey.Page2 - edge, 13700
2023-08-08 14:44:53,682 [1] INFO  n2nmc.View.Pagey.Page1 - D:\n2n\project\N2Nmc\N2Nmc\bin\x64\Release\net6.0-windows\edge\edge.exe -c hyj945123 -k 123456 -l 14.29.239.175:7777
2023-08-08 14:44:55,046 [1] INFO  n2nmc.View.Pagey.Page2 - 已关闭房间 {0} 个
2023-08-08 14:44:55,061 [1] INFO  n2nmc.View.Pagey.Page2 - 不在运行
2023-08-08 16:33:08,884 [1] INFO  n2nmc.View.Pagey.Page2 - 已关闭房间 {0} 个
2023-08-08 16:33:08,897 [1] INFO  n2nmc.View.Pagey.Page2 - 不在运行
2023-08-12 15:10:13,952 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-12 15:10:13,987 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan123, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan123, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan12345, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan12345, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan234, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan234, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan, p: 
2023-08-12 15:10:13,988 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan, p: 
2023-08-12 15:16:33,834 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: wlzx, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: hyj945123, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan123, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan123, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan12345, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan12345, p: 
2023-08-12 15:16:33,835 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan234, p: 
2023-08-12 15:16:33,836 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan234, p: 
2023-08-12 15:16:33,836 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan, p: 
2023-08-12 15:16:33,836 [1] INFO  n2nmc.View.Pagey.Page1 - user: moyan, p: 
2023-08-12 15:16:39,332 [1] INFO  n2nmc.View.Pagey.Page2 - D:\n2n\project\N2Nmc\N2Nmc\bin\x64\Release\net6.0-windows\edge\edge.exe -c wwwww -k 123456
2023-08-12 15:16:39,335 [1] INFO  n2nmc.View.Pagey.Page2 - 连接成功
2023-08-12 15:16:39,426 [1] INFO  n2nmc.View.Pagey.Page2 - 数据插入成功
